vehicle_id,date,laden,reported_km,event_accel,event_start,event_decel,event_stop,event_speeding,fuel_l,idle_sec
826보1806,2026-02-28,false,31.00,0,0,0,0,0,3.300,5418
810무1916,2026-02-28,false,51.40,6,0,8,0,0,16.200,17220
82서0561,2026-02-28,false,25.30,0,0,0,0,0,3.700,7260
826저5454,2026-02-28,false,17.50,0,0,0,0,0,8.200,15480
223호3214,2026-02-28,false,27.10,15,0,7,0,0,2.100,474
815러1522,2026-02-28,false,0.90,0,0,0,0,0,0.500,1428
175허4122,2026-02-28,false,31.90,0,0,0,0,0,3.700,3942
90거1046,2026-02-28,false,16.20,0,0,0,0,0,2.100,1998
86수5121,2026-02-28,false,2.10,0,0,0,0,0,0.000,0
84어5948,2026-02-28,false,79.50,14,0,5,0,0,7.400,4014
84도5761,2026-02-28,false,142.40,82,0,35,0,0,15.500,7098
07버0446,2026-02-28,false,13.90,0,0,0,0,0,2.100,5676
28도8142,2026-02-28,false,304.20,110,0,23,0,0,24.900,2718
815러1543,2026-02-28,false,20.40,0,0,0,0,0,3.200,1536
846부9793,2026-02-28,false,54.30,7,0,5,0,0,4.200,1782
91너0128,2026-02-28,false,70.20,3,0,0,0,0,6.500,5406
84머5043,2026-02-28,false,12.60,0,0,0,0,0,1.700,2010
192허7246,2026-02-28,false,2.30,0,0,0,0,0,0.200,60
806무1508,2026-02-28,false,24.00,2,0,1,0,0,13.300,23856
27조2240,2026-02-28,false,14.80,3,0,0,0,0,1.200,1686
82서0541,2026-02-28,false,25.20,0,0,0,0,0,4.300,8172
84모6043,2026-02-28,false,17.20,0,0,0,0,0,1.800,2586
805주7174,2026-02-28,false,5.40,0,0,0,0,0,0.500,684
816어3537,2026-02-28,false,7.10,2,0,0,0,0,2.200,2106
811거1208,2026-02-28,false,2.40,0,0,0,0,0,0.700,498
821구5816,2026-02-28,false,38.40,1,0,0,0,0,9.200,24276
85우9242,2026-02-28,false,5.90,0,0,0,0,0,1.100,924
84모9146,2026-02-28,false,33.80,2,0,0,0,0,7.700,5328
81어1416,2026-02-28,false,143.70,7,0,14,0,0,13.300,2934
84도5751,2026-02-28,false,11.20,0,0,0,0,0,3.100,11502
91수0563,2026-02-28,false,2.20,0,0,0,0,0,1.200,4260
819저2352,2026-02-28,false,34.20,1,0,0,0,0,2.500,1920
821구5814,2026-02-28,false,9.90,0,0,0,0,0,1.400,3042
817더2910,2026-02-28,false,4.90,0,0,0,0,0,1.200,972
192허4895,2026-02-28,false,76.60,4,0,1,0,0,4.500,804
179허9217,2026-02-28,false,23.50,7,0,6,0,0,1.400,156
810무1916,2026-03-01,false,26.10,1,0,0,0,0,13.000,20094
82서0561,2026-03-01,false,19.00,0,0,0,0,0,2.300,2940
826보1806,2026-03-01,false,27.30,2,0,0,0,0,2.100,1008
90거1046,2026-03-01,false,6.70,0,0,0,0,0,0.800,720
806무1508,2026-03-01,false,47.10,2,0,0,0,0,17.000,26166
816어3537,2026-03-01,false,22.30,1,0,0,0,0,3.800,810
87조8141,2026-03-01,false,27.70,0,0,1,0,0,5.700,3882
821구5814,2026-03-01,false,16.00,0,0,0,0,0,2.100,3696
846부9793,2026-03-01,false,35.20,0,0,0,0,0,3.100,2472
175허4122,2026-03-01,false,2.70,0,0,0,0,0,0.100,216
84모9146,2026-03-01,false,46.00,1,0,0,0,0,7.000,2232
821구5816,2026-03-01,false,32.30,0,0,0,0,0,6.300,14574
84도5751,2026-03-01,false,115.70,3,0,1,0,0,8.200,510
191하9840,2026-03-01,false,18.70,6,0,2,0,0,1.500,918
27조2240,2026-03-01,false,3.00,0,0,0,0,0,0.300,708
91너0128,2026-03-01,false,0.10,0,0,0,0,0,0.000,6
96어0364,2026-03-01,false,9.30,0,0,0,0,0,0.700,144
82서0541,2026-03-01,false,3.70,0,0,0,0,0,1.300,2508
819저2352,2026-03-01,false,4.70,0,0,0,0,0,0.700,438
827무7454,2026-03-01,false,9.60,0,0,0,0,0,1.200,1260
86수5121,2026-03-01,false,4.90,0,0,0,0,0,0.000,0
810무1916,2026-03-02,false,11.80,0,0,0,0,0,3.300,1686
826보1806,2026-03-02,false,36.20,1,0,0,0,0,6.200,3852
846부9793,2026-03-02,false,62.30,18,0,7,0,0,6.100,5202
819저2352,2026-03-02,false,32.90,0,0,2,0,0,4.200,1920
07버0446,2026-03-02,false,15.50,1,0,0,0,0,2.600,8232
806무1508,2026-03-02,false,15.60,1,0,0,0,0,6.800,10056
82서0541,2026-03-02,false,51.00,0,0,0,0,0,10.700,22398
90거1046,2026-03-02,false,12.10,0,0,0,0,0,1.700,1014
816어3537,2026-03-02,false,1.60,1,0,0,0,0,0.500,294
84어5948,2026-03-02,false,41.40,1,0,0,0,0,4.400,3480
175허4122,2026-03-02,false,21.50,0,0,1,0,0,2.100,2604
826저5454,2026-03-02,false,3.50,0,0,0,0,0,3.200,6498
