vehicle_id,date,distance_km,driving_min,hard_accel,hard_start,hard_decel,hard_stop,event_total,rate_per_100km,speeding_detail,speeding_release,note
SB-000001,2026-08-12,122,419,0,0,0,0,0,0,1,1,actual
SB-000002,2026-08-12,90,402,59,33,76,27,195,216.67,0,0,actual
SB-000003,2026-08-12,124,365,0,0,0,0,0,0,0,0,actual
SB-000004,2026-08-12,75,439,89,0,79,1,169,225.33,0,0,actual
SB-000005,2026-08-12,84,446,0,0,0,0,0,0,0,0,actual
SB-000006,2026-08-12,88,416,0,0,0,0,0,0,0,0,actual
SB-000007,2026-08-12,72,339,2,0,0,0,2,2.78,0,0,actual
SB-000008,2026-08-12,91,435,0,0,0,0,0,0,0,0,actual
SB-000009,2026-08-12,84,350,0,0,0,0,0,0,0,0,actual
SB-000010,2026-08-12,0,0,0,0,0,0,0,,0,0,actual
SB-000011,2026-08-12,101,444,0,0,0,0,0,0,0,0,actual
SB-000012,2026-08-12,85,322,77,27,81,14,199,234.12,0,0,actual
SB-000013,2026-08-12,91,385,4,0,0,0,4,4.4,0,0,actual
SB-000014,2026-08-12,0,389,5,0,7,0,12,,0,0,actual
