vehicle_id,date,seq,distance_km,duration_min,depart_time,depart_addr,arrive_time,arrive_addr
SB-000001,2026-08-12,1,0,16,07:10:17,전라남도 광양시 태인동 1720(67m 범위),07:26:43,전라남도 광양시 태인동 1654-7(113m 범위)
SB-000001,2026-08-12,2,0,0,07:34:40,전라남도 광양시 태인동 1654-7(113m 범위),07:34:49,전라남도 광양시 태인동 1654-7(108m 범위)
SB-000001,2026-08-12,3,8,39,07:40:28,전라남도 광양시 태인동 1654-7(108m 범위),08:20:17,전라남도 광양시 금호동 657(243m 범위)
SB-000001,2026-08-12,4,0,0,08:26:55,전라남도 광양시 금호동 657(243m 범위),08:27:45,전라남도 광양시 금호동 657(239m 범위)
SB-000001,2026-08-12,5,1,5,08:33:46,전라남도 광양시 금호동 657(239m 범위),08:39:41,전라남도 광양시 금호동 657(105m 범위)
SB-000001,2026-08-12,6,0,1,08:44:21,전라남도 광양시 금호동 657(105m 범위),08:46:11,전라남도 광양시 금호동 657(90m 범위)
SB-000001,2026-08-12,7,2,8,08:51:43,전라남도 광양시 금호동 657(90m 범위),09:00:36,전라남도 광양시 금호동 803(110m 범위)
SB-000001,2026-08-12,8,15,51,09:01:36,전라남도 광양시 금호동 803(110m 범위),09:53:32,전라남도 광양시 금호동 803(138m 범위)
SB-000001,2026-08-12,9,8,18,09:54:17,전라남도 광양시 금호동 803(138m 범위),10:12:40,전라남도 광양시 태인동 1714(96m 범위)
SB-000001,2026-08-12,10,11,32,10:14:07,전라남도 광양시 태인동 1714(96m 범위),10:46:40,전라남도 광양시 금호동 803(107m 범위)
SB-000001,2026-08-12,11,7,17,10:47:18,전라남도 광양시 금호동 803(107m 범위),11:04:54,전라남도 광양시 태인동 1714(101m 범위)
SB-000001,2026-08-12,12,11,43,11:08:22,전라남도 광양시 태인동 1714(101m 범위),11:51:38,전라남도 광양시 금호동 803(121m 범위)
SB-000001,2026-08-12,13,10,15,11:52:07,전라남도 광양시 금호동 803(143m 범위),12:07:47,전라남도 광양시 도이동 832(53m 범위)
SB-000001,2026-08-12,14,11,41,12:47:49,전라남도 광양시 도이동 832(53m 범위),13:29:22,전라남도 광양시 금호동 803(104m 범위)
SB-000001,2026-08-12,15,7,12,13:29:46,전라남도 광양시 금호동 803(104m 범위),13:41:54,전라남도 광양시 태인동 1656-6(85m 범위)
SB-000001,2026-08-12,16,7,27,13:45:02,전라남도 광양시 태인동 1656-6(85m 범위),14:12:38,전라남도 광양시 금호동 657(10m 범위)
SB-000001,2026-08-12,17,0,2,14:20:36,전라남도 광양시 금호동 657(10m 범위),14:22:39,전라남도 광양시 금호동 657(62m 범위)
SB-000001,2026-08-12,18,2,9,14:31:19,전라남도 광양시 금호동 657(62m 범위),14:40:54,전라남도 광양시 금호동 803(111m 범위)
SB-000001,2026-08-12,19,6,12,14:42:11,전라남도 광양시 금호동 803(111m 범위),14:54:56,전라남도 광양시 태인동 309-6(14m 범위)
SB-000001,2026-08-12,20,0,0,14:57:02,전라남도 광양시 태인동 309-6(14m 범위),14:57:41,전라남도 광양시 태인동 306-20(1m 범위)
SB-000001,2026-08-12,21,4,15,15:04:38,전라남도 광양시 태인동 306-20(1m 범위),15:19:43,전라남도 광양시 금호동 631(492m 범위)
SB-000001,2026-08-12,22,3,14,15:25:17,전라남도 광양시 금호동 631(492m 범위),15:40:07,전라남도 광양시 금호동 656(247m 범위)
SB-000001,2026-08-12,23,0,2,15:52:48,전라남도 광양시 금호동 656(247m 범위),15:55:18,전라남도 광양시 금호동 656(306m 범위)
