vehicle_id,date,report_time,speed_kmh,distance_km,result,addr_jibun,addr_poi,voltage,load_state_raw
SB-000001,2026-08-12,2026-08-12 03:23:24,0,0,리셋보고,전라남도 광양시 태인동 1720(67m 범위),전라남도 광양시 태인동 광양2공장(41m ↓),24.9,공차
SB-000001,2026-08-12,2026-08-12 07:10:17,0,0,Key On,전라남도 광양시 태인동 1720(67m 범위),전라남도 광양시 태인동 광양2공장(41m ↓),22.6,공차
SB-000001,2026-08-12,2026-08-12 07:10:52,0,0,DTG 데이터,전라남도 광양시 태인동 1720(73m 범위),전라남도 광양시 태인동 광양2공장(47m ↓),27.8,공차
SB-000001,2026-08-12,2026-08-12 07:12:53,0,0,DTG 데이터,전라남도 광양시 태인동 1720(75m 범위),전라남도 광양시 태인동 광양2공장(50m ↓),27.7,공차
SB-000001,2026-08-12,2026-08-12 07:14:53,0,0,DTG 데이터,전라남도 광양시 태인동 1720(70m 범위),전라남도 광양시 태인동 광양2공장(46m ↘),27.7,공차
SB-000001,2026-08-12,2026-08-12 07:15:23,0,0,공회전감지,전라남도 광양시 태인동 1720(68m 범위),전라남도 광양시 태인동 광양2공장(45m ↘),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:16:53,0,0,DTG 데이터,전라남도 광양시 태인동 1720(72m 범위),전라남도 광양시 태인동 광양2공장(47m ↓),27.5,공차
SB-000001,2026-08-12,2026-08-12 07:18:53,0,0,DTG 데이터,전라남도 광양시 태인동 1720(76m 범위),전라남도 광양시 태인동 광양2공장(49m ↓),27.4,공차
SB-000001,2026-08-12,2026-08-12 07:20:22,0,0,공회전유지,전라남도 광양시 태인동 1720(74m 범위),전라남도 광양시 태인동 광양2공장(47m ↓),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:20:53,0,0,DTG 데이터,전라남도 광양시 태인동 1720(76m 범위),전라남도 광양시 태인동 광양2공장(48m ↓),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:22:53,0,0,DTG 데이터,전라남도 광양시 태인동 1720(71m 범위),전라남도 광양시 태인동 광양2공장(44m ↓),27.5,공차
SB-000001,2026-08-12,2026-08-12 07:24:31,3,0,공회전종료,전라남도 광양시 태인동 1720(71m 범위),전라남도 광양시 태인동 광양2공장(46m ↓),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:24:52,1,0,DTG 데이터,전라남도 광양시 태인동 1720(93m 범위),전라남도 광양시 태인동 광양2공장(68m ↓),27.3,공차
SB-000001,2026-08-12,2026-08-12 07:26:43,0,0,Key Off,전라남도 광양시 태인동 1654-7(113m 범위),전라남도 광양시 태인동 비에이치인더스트리(93m ↙),26.3,공차
SB-000001,2026-08-12,2026-08-12 07:34:40,0,0,Key On,전라남도 광양시 태인동 1654-7(113m 범위),전라남도 광양시 태인동 비에이치인더스트리(93m ↙),23.5,공차
SB-000001,2026-08-12,2026-08-12 07:34:49,0,0,Key Off,전라남도 광양시 태인동 1654-7(108m 범위),전라남도 광양시 태인동 비에이치인더스트리(88m ↙),24.8,공차
SB-000001,2026-08-12,2026-08-12 07:40:28,0,0,Key On,전라남도 광양시 태인동 1654-7(108m 범위),전라남도 광양시 태인동 비에이치인더스트리(88m ↙),19.7,공차
SB-000001,2026-08-12,2026-08-12 07:40:52,0,0,DTG 데이터,전라남도 광양시 태인동 1654-7(111m 범위),전라남도 광양시 태인동 비에이치인더스트리(91m ↙),27.1,공차
SB-000001,2026-08-12,2026-08-12 07:42:52,0,0,DTG 데이터,전라남도 광양시 태인동 1654-7(112m 범위),전라남도 광양시 태인동 세정테크(92m ↙),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:44:53,0,0,DTG 데이터,전라남도 광양시 태인동 1654-7(115m 범위),전라남도 광양시 태인동 CJ대한통운광양지사(95m →),27.7,공차
SB-000001,2026-08-12,2026-08-12 07:45:33,0,0,공회전감지,전라남도 광양시 태인동 1654-7(111m 범위),전라남도 광양시 태인동 비에이치인더스트리(91m ↙),27.5,공차
SB-000001,2026-08-12,2026-08-12 07:46:53,0,0,DTG 데이터,전라남도 광양시 태인동 1654-7(117m 범위),전라남도 광양시 태인동 CJ대한통운광양지사(95m →),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:48:53,0,0,DTG 데이터,전라남도 광양시 태인동 1654-7(124m 범위),전라남도 광양시 태인동 CJ대한통운광양지사(87m →),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:50:34,0,0,공회전유지,전라남도 광양시 태인동 1654-7(119m 범위),전라남도 광양시 태인동 CJ대한통운광양지사(92m →),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:50:53,0,0,DTG 데이터,전라남도 광양시 태인동 1654-7(120m 범위),전라남도 광양시 태인동 CJ대한통운광양지사(91m →),27.5,공차
SB-000001,2026-08-12,2026-08-12 07:52:53,0,0,DTG 데이터,전라남도 광양시 태인동 1654-7(114m 범위),전라남도 광양시 태인동 CJ대한통운광양지사(94m →),27.1,공차
SB-000001,2026-08-12,2026-08-12 07:54:53,0,0,DTG 데이터,전라남도 광양시 태인동 1654-7(118m 범위),전라남도 광양시 태인동 CJ대한통운광양지사(95m →),27.7,공차
SB-000001,2026-08-12,2026-08-12 07:55:33,0,0,공회전유지,전라남도 광양시 태인동 1654-7(116m 범위),전라남도 광양시 태인동 비에이치인더스트리(98m ↙),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:56:52,0,0,DTG 데이터,전라남도 광양시 태인동 1654-7(112m 범위),전라남도 광양시 태인동 비에이치인더스트리(92m ↙),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:58:23,3,0,공회전종료,전라남도 광양시 태인동 1654-7(119m 범위),전라남도 광양시 태인동 CJ대한통운광양지사(97m →),27.6,공차
SB-000001,2026-08-12,2026-08-12 07:58:52,23,0,DTG 데이터,전라남도 광양시 태인동 1655(82m 범위),전라남도 광양시 태인동 CJ대한통운광양지사(65m ↘),27.1,공차
SB-000001,2026-08-12,2026-08-12 08:00:52,0,1,DTG 데이터,전라남도 광양시 태인동 1653-2(44m 범위),전라남도 광양시 태인동 SK엔크린(36m ↘),27.6,공차
SB-000001,2026-08-12,2026-08-12 08:02:52,22,2,DTG 데이터,전라남도 광양시 태인동 303-50(35m 범위),전라남도 광양시 태인동 소모식당(40m ←),27.5,공차
SB-000001,2026-08-12,2026-08-12 08:04:53,3,3,DTG 데이터,전라남도 광양시 금호동 791(38m 범위),전라남도 광양시 금호동 태인교삼거리(38m ←),27.6,공차
SB-000001,2026-08-12,2026-08-12 08:06:53,33,3,DTG 데이터,전라남도 광양시 금호동 791(302m 범위),전라남도 광양시 금호동 2문(209m ↓),27.3,공차
SB-000001,2026-08-12,2026-08-12 08:08:53,45,4,DTG 데이터,전라남도 광양시 금호동 636(172m 범위),전라남도 광양시 금호동 연구소앞삼거리(311m ↙),27.4,공차
SB-000001,2026-08-12,2026-08-12 08:10:52,21,6,DTG 데이터,전라남도 광양시 금호동 631(180m 범위),전라남도 광양시 금호동 광일엔지니어링(404m ←),27.6,공차
SB-000001,2026-08-12,2026-08-12 08:12:52,45,6,DTG 데이터,전라남도 광양시 금호동 657(329m 범위),주변에 특정 건물이 없습니다,27.7,공차
SB-000001,2026-08-12,2026-08-12 08:14:52,17,7,DTG 데이터,전라남도 광양시 금호동 656(207m 범위),전라남도 광양시 금호동 천문산업안전(382m ↖),27.5,공차
SB-000001,2026-08-12,2026-08-12 08:16:52,23,8,DTG 데이터,전라남도 광양시 금호동 632(441m 범위),주변에 특정 건물이 없습니다,27.5,공차
SB-000001,2026-08-12,2026-08-12 08:18:52,0,8,DTG 데이터,전라남도 광양시 금호동 657(244m 범위),주변에 특정 건물이 없습니다,27.5,공차
SB-000001,2026-08-12,2026-08-12 08:20:17,0,8,Key Off,전라남도 광양시 금호동 657(243m 범위),주변에 특정 건물이 없습니다,25.5,공차
SB-000001,2026-08-12,2026-08-12 08:26:55,0,8,Key On,전라남도 광양시 금호동 657(243m 범위),주변에 특정 건물이 없습니다,23.9,공차
SB-000001,2026-08-12,2026-08-12 08:27:45,0,8,Key Off,전라남도 광양시 금호동 657(239m 범위),주변에 특정 건물이 없습니다,25.5,공차
SB-000001,2026-08-12,2026-08-12 08:33:46,0,8,Key On,전라남도 광양시 금호동 657(239m 범위),주변에 특정 건물이 없습니다,24,공차
SB-000001,2026-08-12,2026-08-12 08:34:52,3,8,DTG 데이터,전라남도 광양시 금호동 657(180m 범위),주변에 특정 건물이 없습니다,27.6,공차
SB-000001,2026-08-12,2026-08-12 08:36:52,0,9,DTG 데이터,전라남도 광양시 금호동 657(34m 범위),주변에 특정 건물이 없습니다,27.6,공차
SB-000001,2026-08-12,2026-08-12 08:38:53,3,9,DTG 데이터,전라남도 광양시 금호동 657(124m 범위),주변에 특정 건물이 없습니다,27.5,공차
SB-000001,2026-08-12,2026-08-12 08:39:41,0,9,Key Off,전라남도 광양시 금호동 657(105m 범위),주변에 특정 건물이 없습니다,25.8,공차
SB-000001,2026-08-12,2026-08-12 08:44:21,0,9,Key On,전라남도 광양시 금호동 657(105m 범위),주변에 특정 건물이 없습니다,24.1,공차
SB-000001,2026-08-12,2026-08-12 08:44:53,0,9,DTG 데이터,전라남도 광양시 금호동 657(109m 범위),주변에 특정 건물이 없습니다,26.3,공차
SB-000001,2026-08-12,2026-08-12 08:46:11,0,9,Key Off,전라남도 광양시 금호동 657(90m 범위),주변에 특정 건물이 없습니다,25.9,공차
SB-000001,2026-08-12,2026-08-12 08:51:43,0,9,Key On,전라남도 광양시 금호동 657(90m 범위),주변에 특정 건물이 없습니다,20.8,공차
SB-000001,2026-08-12,2026-08-12 08:52:53,29,9,DTG 데이터,전라남도 광양시 금호동 653(217m 범위),주변에 특정 건물이 없습니다,27.3,공차
SB-000001,2026-08-12,2026-08-12 08:54:52,21,10,DTG 데이터,전라남도 광양시 금호동 634(139m 범위),전라남도 광양시 금호동 광양제품부두점(86m →),27.5,공차
SB-000001,2026-08-12,2026-08-12 08:56:52,1,11,DTG 데이터,전라남도 광양시 금호동 803(143m 범위),전라남도 광양시 금호동 포스코플로우(291m ↘),27.6,공차
SB-000001,2026-08-12,2026-08-12 08:58:53,0,11,DTG 데이터,전라남도 광양시 금호동 803(103m 범위),전라남도 광양시 금호동 우리은행365(315m ↘),27.3,공차
SB-000001,2026-08-12,2026-08-12 09:00:36,0,11,Key Off,전라남도 광양시 금호동 803(110m 범위),전라남도 광양시 금호동 우리은행365(314m ↘),25.5,공차
SB-000001,2026-08-12,2026-08-12 09:01:36,0,11,Key On,전라남도 광양시 금호동 803(110m 범위),전라남도 광양시 금호동 포스코플로우(314m ↘),24.1,공차
SB-000001,2026-08-12,2026-08-12 09:02:53,42,12,DTG 데이터,전라남도 광양시 금호동 671(125m 범위),전라남도 광양시 금호동 피엠에스(150m ←),27.7,공차
SB-000001,2026-08-12,2026-08-12 09:04:53,17,13,DTG 데이터,전라남도 광양시 금호동 662(457m 범위),주변에 특정 건물이 없습니다,27.5,공차
