vehicle_id,trip_id,ts,lat,lon,speed_kmh,rpm,odo_km,laden,gps_status
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:00:00.000Z,35.08790,128.79370,68,1500,0.00,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:02:00.000Z,35.09659,128.79851,70,1500,2.34,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:04:00.000Z,35.10527,128.80331,71,1500,4.68,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:06:00.000Z,35.11396,128.80812,73,1500,7.02,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:08:00.000Z,35.12264,128.81292,74,1500,9.36,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:10:00.000Z,35.13133,128.81773,75,1500,11.70,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:12:00.000Z,35.14001,128.82254,75,1500,14.04,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:14:00.000Z,35.14870,128.82734,76,1500,16.37,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:16:00.000Z,35.15738,128.83215,76,1500,18.71,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:18:00.000Z,35.16607,128.83695,76,1500,21.05,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:20:00.000Z,35.17475,128.84176,75,1500,23.39,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:22:00.000Z,35.18344,128.84656,74,1500,25.73,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:24:00.000Z,35.19212,128.85137,73,1500,28.07,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:26:00.000Z,35.20081,128.85618,72,1500,30.41,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:28:00.000Z,35.20950,128.86098,71,1500,32.75,false,ok
GLV-T01,TRIP-GLV-T01-01,2026-07-31T21:30:00.000Z,35.21818,128.86579,69,1500,35.09,false,ok
