event_id,vehicle_id,trip_id,leg_id,ts,lat,lon,event_type
TRIP-GLV-T01-01-L1-E1,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:00:46.425Z,35.09126,128.79556,accel
TRIP-GLV-T01-01-L1-E2,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:01:32.850Z,35.09462,128.79742,accel
TRIP-GLV-T01-01-L1-E3,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:02:19.276Z,35.09798,128.79928,accel
TRIP-GLV-T01-01-L1-E4,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:03:05.701Z,35.10134,128.80114,accel
TRIP-GLV-T01-01-L1-E5,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:03:52.126Z,35.10470,128.80300,accel
TRIP-GLV-T01-01-L1-E6,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:04:38.552Z,35.10806,128.80486,accel
TRIP-GLV-T01-01-L1-E7,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:05:24.977Z,35.11142,128.80671,accel
TRIP-GLV-T01-01-L1-E8,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:06:11.402Z,35.11478,128.80857,accel
TRIP-GLV-T01-01-L1-E9,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:06:57.828Z,35.11814,128.81043,accel
TRIP-GLV-T01-01-L1-E10,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:07:44.253Z,35.12150,128.81229,accel
TRIP-GLV-T01-01-L1-E11,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:08:30.678Z,35.12486,128.81415,accel
TRIP-GLV-T01-01-L1-E12,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:09:17.104Z,35.12822,128.81601,accel
TRIP-GLV-T01-01-L1-E13,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:10:03.529Z,35.13158,128.81787,accel
TRIP-GLV-T01-01-L1-E14,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:10:49.954Z,35.13494,128.81973,accel
TRIP-GLV-T01-01-L1-E15,GLV-T01,TRIP-GLV-T01-01,TRIP-GLV-T01-01-L1,2026-07-31T21:11:36.380Z,35.13830,128.82159,accel
