trip_id,vehicle_id,date,origin_site,destination_site,order_no,container_type
TRIP-GLV-T01-01,GLV-T01,2026-08-01,부산신항,부산신항,ORD-GLV-T01,40ft
TRIP-GLV-T02-01,GLV-T02,2026-08-01,부산신항,부산신항,ORD-GLV-T02,40ft
TRIP-GLV-T03-01,GLV-T03,2026-08-01,부산신항,부산신항,ORD-GLV-T03,40ft
TRIP-GLV-T04-01,GLV-T04,2026-08-01,부산신항,부산신항,ORD-GLV-T04,40ft
TRIP-GLV-T05-01,GLV-T05,2026-08-01,부산신항,부산신항,ORD-GLV-T05,40ft
TRIP-GLV-T06-01,GLV-T06,2026-08-01,부산신항,부산신항,ORD-GLV-T06,40ft
TRIP-GLV-T07-01,GLV-T07,2026-08-01,부산신항,부산신항,ORD-GLV-T07,40ft
TRIP-GLV-T08-01,GLV-T08,2026-08-01,부산신항,부산신항,ORD-GLV-T08,40ft
TRIP-GLV-T09-01,GLV-T09,2026-08-01,부산신항,부산신항,ORD-GLV-T09,40ft
TRIP-GLV-T10-01,GLV-T10,2026-08-01,부산신항,부산신항,ORD-GLV-T10,40ft
TRIP-GLV-T11-01,GLV-T11,2026-08-01,부산신항,부산신항,ORD-GLV-T11,40ft
TRIP-GLV-T12-01,GLV-T12,2026-08-01,부산신항,부산신항,ORD-GLV-T12,40ft
TRIP-GLV-T13-01,GLV-T13,2026-08-01,부산신항,부산신항,ORD-GLV-T13,40ft
TRIP-GLV-C01-01,GLV-C01,2026-08-01,부산신항,경주공장,ORD-GLV-C01,
TRIP-GLV-C02-01,GLV-C02,2026-08-01,부산신항,경주공장,ORD-GLV-C02,
TRIP-GLV-C03-01,GLV-C03,2026-08-01,부산신항,경주공장,ORD-GLV-C03,
TRIP-GLV-C04-01,GLV-C04,2026-08-01,부산신항,경주공장,ORD-GLV-C04,
TRIP-GLV-C05-01,GLV-C05,2026-08-01,부산신항,경주공장,ORD-GLV-C05,
TRIP-GLV-C06-01,GLV-C06,2026-08-01,부산신항,경주공장,ORD-GLV-C06,
TRIP-GLV-C07-01,GLV-C07,2026-08-01,부산신항,경주공장,ORD-GLV-C07,
TRIP-GLV-C08-01,GLV-C08,2026-08-01,부산신항,경주공장,ORD-GLV-C08,
TRIP-GLV-C09-01,GLV-C09,2026-08-01,부산신항,경주공장,ORD-GLV-C09,
TRIP-GLV-C10-01,GLV-C10,2026-08-01,부산신항,경주공장,ORD-GLV-C10,
