vehicle_id,vehicle_class,device_model,maker,model,year,gross_weight_kg,displacement_cc,fuel_type,registered_kmpl
GLV-T01,truck,DTG-100,현대자동차,엑시언트,2021,40000,12700,경유,3.6
GLV-T02,truck,DTG-100,현대자동차,엑시언트,2022,40000,12700,경유,3.6
GLV-T03,truck,DTG-100,현대자동차,엑시언트,2020,40000,12700,경유,3.6
GLV-T04,truck,DTG-100,현대자동차,엑시언트,2021,40000,12700,경유,3.6
GLV-T05,truck,DTG-100,현대자동차,엑시언트,2022,40000,12700,경유,3.6
GLV-T06,truck,DTG-100,현대자동차,엑시언트,2023,40000,12700,경유,3.6
GLV-T07,truck,DTG-200,볼보트럭,FH,2020,40000,12800,경유,
GLV-T08,truck,DTG-100,현대자동차,엑시언트,2021,40000,12700,경유,3.6
GLV-T09,truck,DTG-100,현대자동차,엑시언트,2021,40000,12700,경유,3.6
GLV-T10,truck,DTG-100,현대자동차,엑시언트,2022,40000,12700,경유,3.6
GLV-T11,truck,DTG-100,현대자동차,엑시언트,2020,40000,12700,경유,3.6
GLV-T12,truck,DTG-100,현대자동차,엑시언트,2019,40000,12700,경유,3.6
GLV-T13,truck,DTG-100,현대자동차,엑시언트,2019,40000,12700,경유,3.6
GLV-C01,car,OBD-DONGLE-1,현대자동차,아반떼,2022,1400,1600,휘발유,
GLV-C02,car,OBD-DONGLE-1,기아,K5,2021,1400,1999,휘발유,
GLV-C03,car,OBD-DONGLE-1,현대자동차,쏘나타,2022,1400,1999,휘발유,
GLV-C04,car,OBD-DONGLE-1,기아,스포티지,2023,1400,1600,휘발유,
GLV-C05,car,OBD-DONGLE-1,현대자동차,그랜저,2022,1400,2497,휘발유,
GLV-C06,car,OBD-DONGLE-1,기아,카니발,2021,1400,2199,휘발유,
GLV-C07,car,OBD-DONGLE-1,현대자동차,투싼,2023,1400,1600,휘발유,
GLV-C08,car,OBD-DONGLE-1,기아,니로,2022,1400,1580,휘발유,
GLV-C09,car,OBD-DONGLE-1,현대자동차,아이오닉5,2023,1400,0,전기,
GLV-C10,car,OBD-DONGLE-1,기아,레이,2021,1400,999,휘발유,
