ts,lat,lon,speed_kmh,rpm,odo_km
2026-08-09T21:00:00.000Z,35.087900,128.793700,70,1500,0.000
2026-08-09T21:00:10.000Z,35.088701,128.794004,70,1500,0.194
2026-08-09T21:00:20.000Z,35.089503,128.794308,70,1500,0.389
2026-08-09T21:00:30.000Z,35.090304,128.794612,70,1500,0.583
2026-08-09T21:00:40.000Z,35.091105,128.794916,70,1500,0.778
2026-08-09T21:00:50.000Z,35.091907,128.795220,70,1500,0.972
2026-08-09T21:01:00.000Z,35.092708,128.795524,70,1500,1.167
2026-08-09T21:01:10.000Z,35.093509,128.795827,70,1500,1.361
2026-08-09T21:01:20.000Z,35.094310,128.796131,70,1500,1.556
2026-08-09T21:01:30.000Z,35.095112,128.796435,70,1500,1.750
2026-08-09T21:01:40.000Z,35.095913,128.796739,70,1500,1.944
2026-08-09T21:01:50.000Z,35.096714,128.797043,70,1500,2.139
2026-08-09T21:02:00.000Z,35.097516,128.797347,70,1500,2.333
2026-08-09T21:02:10.000Z,35.098317,128.797651,70,1500,2.528
2026-08-09T21:02:20.000Z,35.099118,128.797955,70,1500,2.722
2026-08-09T21:02:30.000Z,35.099920,128.798259,70,1500,2.917
2026-08-09T21:02:40.000Z,35.100721,128.798563,70,1500,3.111
2026-08-09T21:02:50.000Z,35.101522,128.798867,70,1500,3.306
2026-08-09T21:03:00.000Z,35.102323,128.799171,70,1500,3.500
2026-08-09T21:03:10.000Z,35.103125,128.799474,70,1500,3.694
2026-08-09T21:03:20.000Z,35.103926,128.799778,70,1500,3.889
2026-08-09T21:03:30.000Z,35.104727,128.800082,70,1500,4.083
2026-08-09T21:03:40.000Z,35.105529,128.800386,70,1500,4.278
2026-08-09T21:03:50.000Z,35.106330,128.800690,70,1500,4.472
2026-08-09T21:04:00.000Z,35.107131,128.800994,70,1500,4.667
2026-08-09T21:04:10.000Z,35.107933,128.801298,70,1500,4.861
2026-08-09T21:04:20.000Z,35.108734,128.801602,70,1500,5.056
2026-08-09T21:04:30.000Z,35.109535,128.801906,70,1500,5.250
2026-08-09T21:04:40.000Z,35.110337,128.802210,70,1500,5.444
2026-08-09T21:04:50.000Z,35.111138,128.802514,70,1500,5.639
