ts,event_type
2026-08-09T21:04:04.000Z,accel
2026-08-09T21:08:09.000Z,start
2026-08-09T21:12:14.000Z,decel
2026-08-09T21:16:19.000Z,stop
2026-08-09T21:20:24.000Z,accel
2026-08-09T21:24:29.000Z,start
2026-08-09T21:28:34.000Z,decel
2026-08-09T21:32:39.000Z,stop
2026-08-09T21:36:44.000Z,accel
2026-08-09T21:40:48.000Z,start
2026-08-09T21:44:53.000Z,decel
2026-08-09T21:48:58.000Z,stop
2026-08-09T21:53:03.000Z,accel
2026-08-09T21:57:08.000Z,start
2026-08-09T22:01:13.000Z,decel
2026-08-09T22:05:18.000Z,stop
2026-08-09T22:09:23.000Z,accel
2026-08-09T22:13:28.000Z,start
2026-08-09T22:17:33.000Z,decel
2026-08-09T22:21:37.000Z,stop
