date,vehicle_id,drive_sec,distance_km,급가속,급출발,급감속,급정지,과속
2026-06-02,GLV-T11,11450,202.3,15,10,16,7,0
2026-06-06,GLV-T11,11490,202.3,22,8,16,3,0
2026-06-10,GLV-T11,11300,202.3,18,7,16,8,0
2026-06-14,GLV-T11,11590,202.3,24,5,15,4,0
2026-06-18,GLV-T11,11510,202.3,16,7,21,9,0
2026-06-22,GLV-T11,11520,202.3,12,5,24,7,0
2026-06-26,GLV-T11,11300,202.3,15,7,18,10,0
2026-06-30,GLV-T11,11350,202.3,25,7,15,7,0
2026-07-04,GLV-T11,11370,202.3,20,8,18,7,0
2026-07-08,GLV-T11,11430,202.3,14,6,21,8,0
2026-07-12,GLV-T11,11310,202.3,19,9,25,1,0
2026-07-16,GLV-T11,11450,202.3,15,7,18,8,0
2026-07-20,GLV-T11,11370,202.3,15,9,19,4,0
2026-07-24,GLV-T11,11340,202.3,12,7,24,6,0
