trip_id,leg_no,vehicle_id,ts,lat,lon,speed_kmh,rpm,odo_km,laden,gps
T00180,1,GLV-T11,2026-06-02 06:30:00,35.697049,129.334461,0,695,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:30:10,35.697011,129.33446,0,676,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:30:20,35.69704,129.334471,0,697,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:30:30,35.697013,129.334458,0,669,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:30:40,35.696997,129.334441,0,684,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:30:50,35.697034,129.334451,0,726,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:31:00,35.696996,129.33446,0,681,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:31:10,35.696996,129.334481,0,675,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:31:20,35.697003,129.334482,0,700,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:31:30,35.697007,129.334445,21.7,1279,0.03,0,수신
T00180,1,GLV-T11,2026-06-02 06:31:40,35.697148,129.333783,22.9,1226,0.09,0,수신
T00180,1,GLV-T11,2026-06-02 06:31:50,35.696884,129.333196,24.5,1220,0.15,0,수신
T00180,1,GLV-T11,2026-06-02 06:32:00,35.696441,129.332778,12.5,1174,0.22,0,수신
T00180,1,GLV-T11,2026-06-02 06:32:10,35.696242,129.332407,10.7,1104,0.26,0,수신
T00180,1,GLV-T11,2026-06-02 06:32:20,35.696143,129.332126,13.7,1144,0.29,0,수신
T00180,1,GLV-T11,2026-06-02 06:32:30,35.695974,129.331791,14.1,1223,0.32,0,수신
T00180,1,GLV-T11,2026-06-02 06:32:40,35.695796,129.331367,13,1146,0.36,0,수신
T00180,1,GLV-T11,2026-06-02 06:32:50,35.695598,129.331248,14.4,1197,0.4,0,수신
T00180,1,GLV-T11,2026-06-02 06:33:00,35.695283,129.331466,14.2,1114,0.44,0,수신
T00180,1,GLV-T11,2026-06-02 06:33:10,35.694929,129.331619,16.3,1179,0.48,0,수신
T00180,1,GLV-T11,2026-06-02 06:33:20,35.694567,129.331825,14,1161,0.52,0,수신
T00180,1,GLV-T11,2026-06-02 06:33:30,35.694242,129.331948,15.6,1217,0.56,0,수신
T00180,1,GLV-T11,2026-06-02 06:33:40,35.693844,129.332031,13.4,1160,0.61,0,수신
T00180,1,GLV-T11,2026-06-02 06:33:50,35.693525,129.332109,16.9,1235,0.64,0,수신
T00180,1,GLV-T11,2026-06-02 06:34:00,35.69312,129.332147,14,1210,0.69,0,수신
T00180,1,GLV-T11,2026-06-02 06:34:10,35.692734,129.332094,0,662,0.73,0,수신
T00180,1,GLV-T11,2026-06-02 06:34:20,35.692787,129.332088,19.4,1203,0.73,0,수신
T00180,1,GLV-T11,2026-06-02 06:34:30,35.692319,129.331944,18.2,1270,0.78,0,수신
T00180,1,GLV-T11,2026-06-02 06:34:40,35.691834,129.331842,14.7,1118,0.83,0,수신
T00180,1,GLV-T11,2026-06-02 06:34:50,35.691482,129.331709,20.5,1179,0.88,0,수신
T00180,1,GLV-T11,2026-06-02 06:35:00,35.691233,129.331173,13.8,1122,0.93,0,수신
T00180,1,GLV-T11,2026-06-02 06:35:10,35.691335,129.330779,18.6,1214,0.97,0,수신
T00180,1,GLV-T11,2026-06-02 06:35:20,35.691534,129.330286,21.5,1211,1.02,0,수신
T00180,1,GLV-T11,2026-06-02 06:35:30,35.691751,129.32968,15.9,1128,1.08,0,수신
T00180,1,GLV-T11,2026-06-02 06:35:40,35.691885,129.329259,16.6,1206,1.13,0,수신
T00180,1,GLV-T11,2026-06-02 06:35:50,35.692085,129.32876,21.8,1225,1.17,0,수신
T00180,1,GLV-T11,2026-06-02 06:36:00,35.692309,129.328164,30,1382,1.23,0,수신
T00180,1,GLV-T11,2026-06-02 06:36:10,35.692499,129.327268,28.6,1281,1.32,0,수신
T00180,1,GLV-T11,2026-06-02 06:36:20,35.692685,129.326405,49,1511,1.4,0,수신
T00180,1,GLV-T11,2026-06-02 06:36:30,35.693021,129.324947,48.6,1514,1.53,0,수신
T00180,1,GLV-T11,2026-06-02 06:36:40,35.693351,129.323551,46.7,1540,1.67,0,수신
T00180,1,GLV-T11,2026-06-02 06:36:50,35.693641,129.32217,47.1,1479,1.8,0,수신
T00180,1,GLV-T11,2026-06-02 06:37:00,35.693949,129.320722,48.9,1510,1.93,0,수신
T00180,1,GLV-T11,2026-06-02 06:37:10,35.694227,129.319258,52,1583,2.06,0,수신
T00180,1,GLV-T11,2026-06-02 06:37:20,35.694503,129.317696,49.4,1612,2.21,0,수신
T00180,1,GLV-T11,2026-06-02 06:37:30,35.694756,129.316213,52.2,1546,2.34,0,수신
T00180,1,GLV-T11,2026-06-02 06:37:40,35.694968,129.31462,52,1581,2.49,0,수신
T00180,1,GLV-T11,2026-06-02 06:37:50,35.695236,129.313067,50,1609,2.63,0,수신
T00180,1,GLV-T11,2026-06-02 06:38:00,35.695482,129.311596,51.4,1616,2.77,0,수신
T00180,1,GLV-T11,2026-06-02 06:38:10,35.695842,129.310036,50.3,1582,2.92,0,수신
T00180,1,GLV-T11,2026-06-02 06:38:20,35.696268,129.308592,54.4,1664,3.06,0,수신
T00180,1,GLV-T11,2026-06-02 06:38:30,35.696973,129.3072,58.5,1674,3.21,0,수신
T00180,1,GLV-T11,2026-06-02 06:38:40,35.697871,129.305779,55.2,1644,3.37,0,수신
T00180,1,GLV-T11,2026-06-02 06:38:50,35.698824,129.304525,56.5,1643,3.52,0,수신
T00180,1,GLV-T11,2026-06-02 06:39:00,35.699994,129.303502,55.1,1559,3.68,0,수신
T00180,1,GLV-T11,2026-06-02 06:39:10,35.701174,129.302734,60.7,1671,3.83,0,수신
T00180,1,GLV-T11,2026-06-02 06:39:20,35.702602,129.3021,57.5,1686,4,0,수신
T00180,1,GLV-T11,2026-06-02 06:39:30,35.703992,129.301545,58.1,1695,4.16,0,수신
T00180,1,GLV-T11,2026-06-02 06:39:40,35.705367,129.301024,59.3,1677,4.32,0,수신
T00180,1,GLV-T11,2026-06-02 06:39:50,35.706728,129.300382,57.6,1650,4.49,0,수신
T00180,1,GLV-T11,2026-06-02 06:40:00,35.708025,129.299589,60.9,1731,4.65,0,수신
T00180,1,GLV-T11,2026-06-02 06:40:10,35.709285,129.298553,64.1,1764,4.82,0,수신
T00180,1,GLV-T11,2026-06-02 06:40:20,35.710396,129.297138,61.5,1727,4.99,0,수신
T00180,1,GLV-T11,2026-06-02 06:40:30,35.711255,129.295569,74.1,1769,5.16,0,수신
T00180,1,GLV-T11,2026-06-02 06:40:40,35.711975,129.293458,80.5,1860,5.37,0,수신
T00180,1,GLV-T11,2026-06-02 06:40:50,35.712399,129.291028,74.5,1857,5.59,0,수신
T00180,1,GLV-T11,2026-06-02 06:41:00,35.712573,129.288775,69,1819,5.8,0,수신
T00180,1,GLV-T11,2026-06-02 06:41:10,35.712713,129.286639,75.3,1870,5.99,0,수신
T00180,1,GLV-T11,2026-06-02 06:41:20,35.712871,129.284335,83.3,1916,6.2,0,수신
T00180,1,GLV-T11,2026-06-02 06:41:30,35.713009,129.281795,75.3,1831,6.43,0,수신
T00180,1,GLV-T11,2026-06-02 06:41:40,35.713168,129.279467,76.5,1834,6.64,0,수신
T00180,1,GLV-T11,2026-06-02 06:41:50,35.713304,129.277123,71,1750,6.85,0,수신
T00180,1,GLV-T11,2026-06-02 06:42:00,35.713491,129.274949,73.6,1795,7.05,0,수신
T00180,1,GLV-T11,2026-06-02 06:42:10,35.713562,129.272712,73.4,1770,7.26,0,수신
T00180,1,GLV-T11,2026-06-02 06:42:20,35.713628,129.270456,76.2,1906,7.46,0,수신
T00180,1,GLV-T11,2026-06-02 06:42:30,35.713634,129.268119,73,1774,7.67,0,수신
T00180,1,GLV-T11,2026-06-02 06:42:40,35.713694,129.265851,77.7,1903,7.87,0,수신
T00180,1,GLV-T11,2026-06-02 06:42:50,35.713723,129.263478,76,1841,8.09,0,수신
T00180,1,GLV-T11,2026-06-02 06:43:00,35.713757,129.261122,70,1817,8.3,0,수신
T00180,1,GLV-T11,2026-06-02 06:43:10,35.713779,129.258972,79.8,1850,8.5,0,수신
T00180,1,GLV-T11,2026-06-02 06:43:20,35.713603,129.256551,78.1,1850,8.72,0,수신
T00180,1,GLV-T11,2026-06-02 06:43:30,35.71324,129.254177,72,1801,8.93,0,수신
T00180,1,GLV-T11,2026-06-02 06:43:40,35.712908,129.251966,78.6,1906,9.13,0,수신
T00180,1,GLV-T11,2026-06-02 06:43:50,35.712771,129.2496,75.6,1806,9.35,0,수신
T00180,1,GLV-T11,2026-06-02 06:44:00,35.713022,129.247262,77.1,1835,9.56,0,수신
T00180,1,GLV-T11,2026-06-02 06:44:10,35.713506,129.244956,79.3,1851,9.78,0,수신
T00180,1,GLV-T11,2026-06-02 06:44:20,35.714308,129.242743,81.1,1940,10,0,수신
T00180,1,GLV-T11,2026-06-02 06:44:30,35.71542,129.240671,76.3,1831,10.22,0,수신
T00180,1,GLV-T11,2026-06-02 06:44:40,35.716794,129.239043,75.5,1874,10.43,0,수신
T00180,1,GLV-T11,2026-06-02 06:44:50,35.718388,129.237872,83.2,1906,10.64,0,수신
T00180,1,GLV-T11,2026-06-02 06:45:00,35.72042,129.237261,81.2,1930,10.88,0,수신
T00180,1,GLV-T11,2026-06-02 06:45:10,35.722391,129.236857,81.8,1932,11.1,0,수신
