event_id,trip_id,leg_no,vehicle_id,occurred_at,event_type,lat,lon,speed_kmh,laden
E0015820,T00180,1,GLV-T11,2026-06-02 06:32:40,급출발,35.695767,129.331444,14.1,0
E0015821,T00180,1,GLV-T11,2026-06-02 06:34:50,급출발,35.691523,129.331763,23.4,0
E0015822,T00180,1,GLV-T11,2026-06-02 06:34:50,급가속,35.691555,129.331765,22.5,0
E0015823,T00180,1,GLV-T11,2026-06-02 06:35:00,급출발,35.691216,129.331197,12.4,0
E0015824,T00180,1,GLV-T11,2026-06-02 06:36:10,급감속,35.692575,129.32721,26.8,0
E0015825,T00180,1,GLV-T11,2026-06-02 06:41:40,급감속,35.713238,129.279426,73.1,0
E0015826,T00180,1,GLV-T11,2026-06-02 06:45:20,급감속,35.72438,129.236515,80,0
E0015827,T00180,1,GLV-T11,2026-06-02 06:51:40,급감속,35.777226,129.200572,85.8,0
E0015828,T00180,1,GLV-T11,2026-06-02 07:01:40,급가속,35.827102,129.122984,31,0
E0015829,T00180,1,GLV-T11,2026-06-02 07:01:40,급정지,35.826995,129.123075,34.6,0
E0015830,T00180,1,GLV-T11,2026-06-02 07:09:10,급가속,35.879439,129.055798,78.5,0
E0015831,T00180,1,GLV-T11,2026-06-02 07:10:10,급출발,35.888634,129.046649,80.3,0
E0015832,T00180,1,GLV-T11,2026-06-02 07:18:00,급가속,35.927318,128.966137,68.4,0
E0015833,T00180,1,GLV-T11,2026-06-02 07:30:50,급정지,35.877118,128.801585,80.1,0
E0015834,T00180,1,GLV-T11,2026-06-02 07:35:30,급정지,35.874693,128.815837,23.1,0
E0015835,T00180,1,GLV-T11,2026-06-02 07:35:40,급정지,35.874819,128.816755,26.2,0
E0015836,T00180,1,GLV-T11,2026-06-02 07:37:20,급감속,35.876489,128.824083,17.9,0
E0015837,T00180,1,GLV-T11,2026-06-02 07:40:50,급가속,35.870386,128.824961,10.5,0
E0015838,T00180,1,GLV-T11,2026-06-02 07:40:50,급감속,35.870264,128.824839,16.1,0
E0015839,T00180,2,GLV-T11,2026-06-02 08:31:40,급출발,35.874626,128.815963,26.9,1
E0015840,T00180,2,GLV-T11,2026-06-02 08:31:40,급출발,35.874764,128.816005,27.1,1
E0015841,T00180,2,GLV-T11,2026-06-02 08:31:50,급출발,35.874514,128.815029,29.8,1
E0015842,T00180,2,GLV-T11,2026-06-02 08:34:20,급가속,35.87556,128.792847,57.1,1
E0015843,T00180,2,GLV-T11,2026-06-02 08:43:20,급출발,35.875859,128.685264,80.8,1
E0015844,T00180,2,GLV-T11,2026-06-02 08:46:20,급감속,35.840027,128.689882,40.2,1
E0015845,T00180,2,GLV-T11,2026-06-02 08:47:10,급감속,35.835533,128.692664,6,1
E0015846,T00180,2,GLV-T11,2026-06-02 08:48:30,급가속,35.831852,128.698473,40.3,1
E0015847,T00180,2,GLV-T11,2026-06-02 09:11:00,급감속,35.591048,128.767335,77.7,1
E0015848,T00180,2,GLV-T11,2026-06-02 09:21:50,급가속,35.474921,128.774052,81.7,1
E0015849,T00180,2,GLV-T11,2026-06-02 09:23:10,급정지,35.459646,128.772707,78.3,1
E0015850,T00180,2,GLV-T11,2026-06-02 09:27:40,급감속,35.41262,128.796675,74.5,1
E0015851,T00180,2,GLV-T11,2026-06-02 09:32:40,급가속,35.374523,128.850264,76.6,1
E0015852,T00180,2,GLV-T11,2026-06-02 09:32:50,급가속,35.372813,128.851195,79,1
E0015853,T00180,2,GLV-T11,2026-06-02 09:39:40,급출발,35.341687,128.931376,75.6,1
E0015854,T00180,2,GLV-T11,2026-06-02 09:39:40,급가속,35.341688,128.931324,70.9,1
E0015855,T00180,2,GLV-T11,2026-06-02 09:54:20,급감속,35.22616,128.935429,6,1
E0015856,T00180,2,GLV-T11,2026-06-02 09:54:20,급감속,35.226115,128.935509,6,1
E0015857,T00180,2,GLV-T11,2026-06-02 09:55:10,급감속,35.223198,128.931914,38.8,1
E0015858,T00180,2,GLV-T11,2026-06-02 09:55:40,급감속,35.221266,128.928922,50.1,1
E0015859,T00180,2,GLV-T11,2026-06-02 09:59:20,급가속,35.194322,128.894804,80.2,1
E0015860,T00180,2,GLV-T11,2026-06-02 10:04:00,급가속,35.148221,128.877976,70.4,1
E0015861,T00180,2,GLV-T11,2026-06-02 10:09:40,급출발,35.103602,128.835495,53.6,1
E0015862,T00180,2,GLV-T11,2026-06-02 10:12:00,급정지,35.093034,128.834461,6,1
E0015863,T00180,2,GLV-T11,2026-06-02 10:12:30,급가속,35.092469,128.834576,6,1
E0015864,T00180,2,GLV-T11,2026-06-02 10:12:50,급정지,35.091876,128.83455,13.6,1
E0015865,T00180,2,GLV-T11,2026-06-02 10:13:10,급가속,35.090953,128.834483,6,1
E0015866,T00180,2,GLV-T11,2026-06-02 10:15:20,급감속,35.087301,128.834617,18.5,1
E0015867,T00180,2,GLV-T11,2026-06-02 10:15:30,급감속,35.086792,128.834692,6,1
E0015868,T00181,1,GLV-T11,2026-06-06 06:06:50,급가속,35.691311,129.331613,15.6,0
E0015869,T00181,1,GLV-T11,2026-06-06 06:07:00,급출발,35.691232,129.330988,18.7,0
E0015870,T00181,1,GLV-T11,2026-06-06 06:07:40,급출발,35.692044,129.328818,18.9,0
E0015871,T00181,1,GLV-T11,2026-06-06 06:08:20,급가속,35.692648,129.326426,39.4,0
E0015872,T00181,1,GLV-T11,2026-06-06 06:12:20,급감속,35.710485,129.296776,63,0
E0015873,T00181,1,GLV-T11,2026-06-06 06:17:20,급출발,35.725349,129.236193,82.4,0
E0015874,T00181,1,GLV-T11,2026-06-06 06:25:10,급가속,35.795107,129.203099,66.3,0
E0015875,T00181,1,GLV-T11,2026-06-06 06:33:20,급가속,35.826099,129.124471,6,0
E0015876,T00181,1,GLV-T11,2026-06-06 06:34:10,급가속,35.827341,129.122628,34.8,0
E0015877,T00181,1,GLV-T11,2026-06-06 06:34:20,급감속,35.827817,129.121723,34.8,0
E0015878,T00181,1,GLV-T11,2026-06-06 06:34:50,급가속,35.829133,129.118975,50.8,0
E0015879,T00181,1,GLV-T11,2026-06-06 07:00:00,급감속,35.881551,128.845584,74.7,0
E0015880,T00181,1,GLV-T11,2026-06-06 07:05:00,급출발,35.875585,128.792819,64.9,0
E0015881,T00181,1,GLV-T11,2026-06-06 07:08:00,급감속,35.874706,128.81645,24.8,0
E0015882,T00181,1,GLV-T11,2026-06-06 07:11:50,급감속,35.874999,128.82498,6,0
E0015883,T00181,1,GLV-T11,2026-06-06 07:12:20,급정지,35.87407,128.824921,14.6,0
E0015884,T00181,1,GLV-T11,2026-06-06 07:12:40,급가속,35.873309,128.824961,17.8,0
E0015885,T00181,1,GLV-T11,2026-06-06 07:13:30,급가속,35.871336,128.824882,13.7,0
E0015886,T00181,1,GLV-T11,2026-06-06 07:13:50,급감속,35.870698,128.824819,14.1,0
E0015887,T00181,1,GLV-T11,2026-06-06 07:14:00,급감속,35.870384,128.824851,12.3,0
E0015888,T00181,2,GLV-T11,2026-06-06 08:06:20,급출발,35.876318,128.824924,17.4,1
E0015889,T00181,2,GLV-T11,2026-06-06 08:08:30,급출발,35.874908,128.817448,27.5,1
E0015890,T00181,2,GLV-T11,2026-06-06 08:08:40,급감속,35.874718,128.816414,18.1,1
E0015891,T00181,2,GLV-T11,2026-06-06 08:23:30,급가속,35.841116,128.689525,36.5,1
E0015892,T00181,2,GLV-T11,2026-06-06 08:24:30,급가속,35.836123,128.692095,41.5,1
E0015893,T00181,2,GLV-T11,2026-06-06 08:24:40,급가속,35.835473,128.692854,28.1,1
E0015894,T00181,2,GLV-T11,2026-06-06 08:25:10,급가속,35.833662,128.695417,35,1
E0015895,T00181,2,GLV-T11,2026-06-06 08:28:30,급가속,35.812152,128.72656,69.7,1
E0015896,T00181,2,GLV-T11,2026-06-06 08:32:50,급가속,35.763499,128.73032,73.7,1
E0015897,T00181,2,GLV-T11,2026-06-06 08:35:20,급감속,35.735685,128.736209,69.3,1
E0015898,T00181,2,GLV-T11,2026-06-06 08:54:50,급가속,35.518887,128.795679,76.2,1
E0015899,T00181,2,GLV-T11,2026-06-06 09:03:00,급가속,35.429779,128.782865,74.5,1
E0015900,T00181,2,GLV-T11,2026-06-06 09:07:40,급가속,35.393692,128.832596,74.9,1
E0015901,T00181,2,GLV-T11,2026-06-06 09:09:30,급감속,35.376125,128.848898,75.5,1
E0015902,T00181,2,GLV-T11,2026-06-06 09:09:30,급감속,35.376095,128.849023,74.5,1
E0015903,T00181,2,GLV-T11,2026-06-06 09:12:00,급가속,35.35789,128.874736,83.5,1
E0015904,T00181,2,GLV-T11,2026-06-06 09:31:00,급가속,35.227279,128.936676,44.3,1
E0015905,T00181,2,GLV-T11,2026-06-06 09:31:10,급감속,35.226329,128.935619,43.7,1
E0015906,T00181,2,GLV-T11,2026-06-06 09:31:20,급가속,35.225542,128.934777,41.9,1
E0015907,T00181,2,GLV-T11,2026-06-06 09:31:30,급가속,35.224795,128.933901,36.3,1
E0015908,T00181,2,GLV-T11,2026-06-06 09:32:30,급감속,35.22114,128.928632,38.5,1
E0015909,T00181,2,GLV-T11,2026-06-06 09:47:00,급감속,35.099062,128.834506,28.3,1
E0015910,T00181,2,GLV-T11,2026-06-06 09:47:00,급감속,35.099038,128.834611,25.4,1
E0015911,T00181,2,GLV-T11,2026-06-06 09:47:40,급감속,35.096173,128.834437,20,1
E0015912,T00181,2,GLV-T11,2026-06-06 09:48:00,급정지,35.095227,128.834461,23.7,1
E0015913,T00181,2,GLV-T11,2026-06-06 09:48:50,급정지,35.092074,128.834576,17.1,1
E0015914,T00181,2,GLV-T11,2026-06-06 09:51:20,급출발,35.087282,128.834616,6,1
E0015915,T00181,2,GLV-T11,2026-06-06 09:51:40,급출발,35.086886,128.834631,14.6,1
E0015916,T00181,2,GLV-T11,2026-06-06 09:51:40,급가속,35.086927,128.834636,12.7,1
E0015917,T00182,1,GLV-T11,2026-06-10 06:41:40,급가속,35.696437,129.332685,11.2,0
E0015918,T00182,1,GLV-T11,2026-06-10 06:45:10,급감속,35.691496,129.330352,22.9,0
E0015919,T00182,1,GLV-T11,2026-06-10 06:45:30,급가속,35.691865,129.329222,18.6,0
E0015920,T00182,1,GLV-T11,2026-06-10 06:46:30,급출발,35.692475,129.327006,27.6,0
E0015921,T00182,1,GLV-T11,2026-06-10 06:50:50,급감속,35.710622,129.296742,73,0
