trip_id,leg_no,vehicle_id,direction,laden,distance_km,start_at,end_at,drive_sec,idle_sec,fuel_l,co2_kg,events
T00180,1,GLV-T11,OUT,0,75.9,2026-06-02 06:30:00,2026-06-02 07:44:00,4440,250,21.8,56.81,19
T00180,2,GLV-T11,OUT,1,126.3,2026-06-02 08:24:00,2026-06-02 10:20:50,7010,530,50.49,131.57,29
T00181,1,GLV-T11,OUT,0,75.9,2026-06-06 06:00:00,2026-06-06 07:16:40,4600,410,21.91,57.09,20
T00181,2,GLV-T11,OUT,1,126.3,2026-06-06 08:01:40,2026-06-06 09:56:30,6890,400,50.4,131.35,29
T00182,1,GLV-T11,OUT,0,75.9,2026-06-10 06:40:00,2026-06-10 07:54:10,4450,280,21.82,56.86,18
T00182,2,GLV-T11,OUT,1,126.3,2026-06-10 08:39:10,2026-06-10 10:33:20,6850,330,50.35,131.22,31
T00183,1,GLV-T11,OUT,0,75.9,2026-06-14 08:30:00,2026-06-14 09:47:40,4660,490,21.96,57.23,18
T00183,2,GLV-T11,OUT,1,126.3,2026-06-14 10:42:40,2026-06-14 12:38:10,6930,420,50.41,131.38,30
T00184,1,GLV-T11,OUT,0,75.9,2026-06-18 06:50:00,2026-06-18 08:07:10,4630,450,21.93,57.16,20
T00184,2,GLV-T11,OUT,1,126.3,2026-06-18 08:57:10,2026-06-18 10:51:50,6880,370,50.38,131.29,33
T00185,1,GLV-T11,OUT,0,75.9,2026-06-22 06:40:00,2026-06-22 07:55:00,4500,330,21.85,56.95,18
T00185,2,GLV-T11,OUT,1,126.3,2026-06-22 08:25:00,2026-06-22 10:22:00,7020,500,50.47,131.52,30
T00186,1,GLV-T11,OUT,0,75.9,2026-06-26 06:00:00,2026-06-26 07:14:10,4450,300,21.83,56.9,18
T00186,2,GLV-T11,OUT,1,126.3,2026-06-26 07:59:10,2026-06-26 09:53:20,6850,350,50.37,131.26,32
T00187,1,GLV-T11,OUT,0,75.9,2026-06-30 06:50:00,2026-06-30 08:05:00,4500,330,21.85,56.95,20
T00187,2,GLV-T11,OUT,1,126.3,2026-06-30 08:50:00,2026-06-30 10:44:10,6850,370,50.38,131.29,34
T00188,1,GLV-T11,OUT,0,75.9,2026-07-04 08:00:00,2026-07-04 09:15:50,4550,380,21.89,57.03,19
T00188,2,GLV-T11,OUT,1,126.3,2026-07-04 10:00:50,2026-07-04 11:54:30,6820,350,50.37,131.26,34
T00189,1,GLV-T11,OUT,0,75.9,2026-07-08 06:30:00,2026-07-08 07:47:00,4620,440,21.93,57.14,18
T00189,2,GLV-T11,OUT,1,126.3,2026-07-08 08:27:00,2026-07-08 10:20:30,6810,300,50.33,131.17,31
T00190,1,GLV-T11,OUT,0,75.9,2026-07-12 08:20:00,2026-07-12 09:34:20,4460,300,21.83,56.9,20
T00190,2,GLV-T11,OUT,1,126.3,2026-07-12 10:14:20,2026-07-12 12:08:30,6850,340,50.36,131.24,34
T00191,1,GLV-T11,OUT,0,75.9,2026-07-16 08:30:00,2026-07-16 09:47:00,4620,440,21.93,57.14,18
T00191,2,GLV-T11,OUT,1,126.3,2026-07-16 10:32:00,2026-07-16 12:25:50,6830,320,50.35,131.21,30
T00192,1,GLV-T11,OUT,0,75.9,2026-07-20 06:40:00,2026-07-20 07:54:50,4490,310,21.84,56.91,18
T00192,2,GLV-T11,OUT,1,126.3,2026-07-20 08:39:50,2026-07-20 10:34:30,6880,400,50.4,131.35,29
T00193,1,GLV-T11,OUT,0,75.9,2026-07-24 07:20:00,2026-07-24 08:36:30,4590,420,21.91,57.1,19
T00193,2,GLV-T11,OUT,1,126.3,2026-07-24 09:26:30,2026-07-24 11:19:00,6750,210,50.27,131.02,30
