trip_id,order_no,date,shipper_code,shipper,consignor,carrier,vehicle_id,driver_id,route_id,route_name,container_no,spec,one_way_km,total_km,laden_km,empty_km,start_at,end_at,idle_sec,fuel_l,co2_kg,ton_km,co2_g_per_tonkm,events,safe_rate_krw
T00180,X260602-901000,2026-06-02,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4100000,4510,202.3,202.3,126.3,75.9,2026-06-02 06:30:00,2026-06-02 10:20:50,780,72.29,188.38,3853.4,48.89,48,356000
T00181,X260606-901037,2026-06-06,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4113711,4510,202.3,202.3,126.3,75.9,2026-06-06 06:00:00,2026-06-06 09:56:30,810,72.31,188.43,3853.4,48.9,49,356000
T00182,X260610-901074,2026-06-10,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4127422,4510,202.3,202.3,126.3,75.9,2026-06-10 06:40:00,2026-06-10 10:33:20,610,72.17,188.09,3853.4,48.81,49,356000
T00183,X260614-901111,2026-06-14,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4141133,4510,202.3,202.3,126.3,75.9,2026-06-14 08:30:00,2026-06-14 12:38:10,910,72.37,188.61,3853.4,48.95,48,356000
T00184,X260618-901148,2026-06-18,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4154844,4510,202.3,202.3,126.3,75.9,2026-06-18 06:50:00,2026-06-18 10:51:50,820,72.31,188.45,3853.4,48.91,53,356000
T00185,X260622-901185,2026-06-22,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4168555,4510,202.3,202.3,126.3,75.9,2026-06-22 06:40:00,2026-06-22 10:22:00,830,72.32,188.47,3853.4,48.91,48,356000
T00186,X260626-901222,2026-06-26,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4182266,4510,202.3,202.3,126.3,75.9,2026-06-26 06:00:00,2026-06-26 09:53:20,650,72.2,188.16,3853.4,48.83,50,356000
T00187,X260630-901259,2026-06-30,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4195977,4510,202.3,202.3,126.3,75.9,2026-06-30 06:50:00,2026-06-30 10:44:10,700,72.23,188.24,3853.4,48.85,54,356000
T00188,X260704-901296,2026-07-04,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4209688,4510,202.3,202.3,126.3,75.9,2026-07-04 08:00:00,2026-07-04 11:54:30,730,72.25,188.29,3853.4,48.86,53,356000
T00189,X260708-901333,2026-07-08,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4223399,4510,202.3,202.3,126.3,75.9,2026-07-08 06:30:00,2026-07-08 10:20:30,740,72.26,188.31,3853.4,48.87,49,356000
T00190,X260712-901370,2026-07-12,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4237110,4510,202.3,202.3,126.3,75.9,2026-07-12 08:20:00,2026-07-12 12:08:30,640,72.19,188.14,3853.4,48.82,54,356000
T00191,X260716-901407,2026-07-16,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4250821,4510,202.3,202.3,126.3,75.9,2026-07-16 08:30:00,2026-07-16 12:25:50,760,72.27,188.35,3853.4,48.88,48,356000
T00192,X260720-901444,2026-07-20,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4264532,4510,202.3,202.3,126.3,75.9,2026-07-20 06:40:00,2026-07-20 10:34:30,710,72.24,188.26,3853.4,48.86,47,356000
T00193,X260724-901481,2026-07-24,GLV,현대글로비스,모비스모듈,세방(주),GLV-T11,D011,R04,경주 외동-경산 진량-부산신항,SEGU4278243,4510,202.3,202.3,126.3,75.9,2026-07-24 07:20:00,2026-07-24 11:19:00,630,72.19,188.12,3853.4,48.82,49,356000
